Province,Income
Newfoundland and Labrador,59300
Prince Edward Island,59400
Nova Scotia,57500
New Brunswick,56900
Quebec,59700
Ontario,70100
Manitoba,63000
Saskatchewan,67700
Alberta,77700
British Columbia,67500
