Province,Spending
Newfoundland and Labrador,14930.4
Prince Edward Island,4207.1
Nova Scotia,26161.7
New Brunswick,21062.6
Quebec,220364.2
Ontario,399266.3
Manitoba,34290.8
Saskatchewan,31716.4
Alberta,126489.2
British Columbia,149984.6
